RowNumber,ABV,IBU
1,0.09,90
2,0.048,69
3,0.067,69
4,0.062,55
5,0.0725,69
6,0.065,70
7,0.065,65
8,0.07,50
9,0.065,69
10,0.063,45
11,0.065,69
12,0.07,60
13,0.065,55
14,0.073,50
15,0.062,65
16,0.068,50
17,0.071,65
18,0.07,65
19,0.068,65
20,0.1,100
21,0.075,70
22,0.065,55
23,0.07,99
24,0.085,71
25,0.07,65
26,0.0666,69
27,0.065,50
28,0.058,69
29,0.062,70
30,0.07,80
31,0.075,69
32,0.065,70
33,0.06,55
34,0.063,69
35,0.063,65
36,0.059,55
37,0.094,101
38,0.07,77
39,0.09,118
40,0.059,42
41,0.062,69
42,0.075,85
43,0.106,95
44,0.079,55
45,0.067,47
46,0.073,82
47,0.04,65
48,0.068,69
49,0.09,69
50,0.066,50
51,0.071,85
52,0.068,66
53,0.104,100
54,0.066,75
55,0.075,70
56,0.085,90
57,0.063,54
58,0.065,75
59,0.065,69
60,0.075,70
61,0.075,70
62,0.065,52
63,0.091,80
64,0.06,60
65,0.063,65
66,0.062,68
67,0.07,69
68,0.068,65
69,0.072,69
70,0.063,57
71,0.07,69
72,0.073,85
73,0.065,115
74,0.065,60
75,0.095,100
76,0.055,69
77,0.06,45
78,0.065,70
79,0.062,69
80,0.062,60
81,0.069,70
82,0.077,100
83,0.066,55
84,0.0573,69
85,0.057,57
86,0.071,60
87,0.057,70
88,0.069,77
89,0.069,77
90,0.06,64
91,0.064,65
92,0.07,69
93,0.073,71
94,0.072,65
95,0.068,69
96,0.067,65
97,0.07,70
98,0.04,42
99,0.062,65
100,0.075,70
101,0.077,69
102,0.076,69
103,0.073,95
104,0.078,75
105,0.068,70
106,0.075,75
107,0.073,69
108,0.062,50
109,0.062,70
